n,room,time
165,jonesRoom,80.28
165,jonesRoom,81.24
167,jonesRoom,82.28
167,jonesRoom,80.64
167,jonesRoom,81.68
167,jonesRoom,82.48
169,jonesRoom,80.96
169,jonesRoom,82.72
169,jonesRoom,82.92
169,jonesRoom,81.32
171,jonesRoom,83.44
171,jonesRoom,83.76
171,jonesRoom,84.76
171,jonesRoom,84.08
171,jonesRoom,82.8
171,jonesRoom,82.88
173,jonesRoom,86.08
173,jonesRoom,84.2
173,jonesRoom,84.64
173,jonesRoom,82.84
173,jonesRoom,84.76
173,jonesRoom,85.56
173,jonesRoom,85.08
173,jonesRoom,84.32
173,jonesRoom,85.28
173,jonesRoom,84.0
173,jonesRoom,83.08
173,jonesRoom,83.32
175,jonesRoom,85.56
175,jonesRoom,84.44
175,jonesRoom,86.92
175,jonesRoom,87.24
175,jonesRoom,87.36
175,jonesRoom,84.4
175,jonesRoom,87.16
175,jonesRoom,86.6
175,jonesRoom,84.76
175,jonesRoom,85.88
175,jonesRoom,85.72
175,jonesRoom,85.44
175,jonesRoom,87.6
175,jonesRoom,85.28
177,jonesRoom,86.48
177,jonesRoom,86.28
177,jonesRoom,86.12
177,jonesRoom,86.96
177,jonesRoom,87.88
177,jonesRoom,85.6
177,jonesRoom,87.28
177,jonesRoom,87.8
177,jonesRoom,86.92
177,jonesRoom,86.36
177,jonesRoom,85.12
177,jonesRoom,85.76
177,jonesRoom,85.56
177,jonesRoom,86.64
179,jonesRoom,88.04
179,jonesRoom,87.56
179,jonesRoom,88.04
179,jonesRoom,85.88
179,jonesRoom,88.28
179,jonesRoom,88.52
179,jonesRoom,87.4
179,jonesRoom,87.8
179,jonesRoom,86.64
179,jonesRoom,88.48
179,jonesRoom,87.2
179,jonesRoom,87.0
179,jonesRoom,87.24
179,jonesRoom,86.68
1,meetingRoom,5.52
1,meetingRoom,5.52
1,meetingRoom,1.4
1,meetingRoom,2.56
3,meetingRoom,3.88
3,meetingRoom,4.48
3,meetingRoom,2.56
3,meetingRoom,3.2
5,meetingRoom,4.04
5,meetingRoom,5.6
5,meetingRoom,6.32
5,meetingRoom,3.32
7,meetingRoom,5.2
7,meetingRoom,5.2
7,meetingRoom,5.76
7,meetingRoom,5.08
9,meetingRoom,5.52
